iteration,requests_count,nodes_count,time_limit,dfs_backtrack,dfs_normal,ratio
132,19,8,16,14,13,1.0769230769230769
133,4,12,22,4,4,1.0
134,25,13,14,14,12,1.1666666666666667
135,26,15,10,10,9,1.1111111111111112
136,25,4,10,10,10,1.0
137,15,14,19,14,12,1.1666666666666667
138,15,15,24,15,15,1.0
139,24,7,24,19,17,1.1176470588235294
140,18,10,12,11,10,1.1
141,14,8,14,11,9,1.2222222222222223
142,1,14,20,1,1,1.0
143,17,2,22,16,16,1.0
144,25,9,20,19,18,1.0555555555555556
145,17,3,19,16,16,1.0
146,26,5,24,21,19,1.105263157894737
147,19,10,10,10,9,1.1111111111111112
148,26,12,18,18,16,1.125
149,15,14,23,15,13,1.1538461538461537
150,3,9,10,3,3,1.0
151,16,13,21,14,12,1.1666666666666667
152,7,2,25,7,7,1.0
153,22,13,23,18,16,1.125
154,8,10,26,8,8,1.0
155,16,2,17,14,13,1.0769230769230769
156,23,9,13,13,11,1.1818181818181819
157,7,8,19,7,7,1.0
158,26,14,10,10,10,1.0
159,19,15,23,17,14,1.2142857142857142
160,11,8,22,11,11,1.0
161,7,6,19,7,7,1.0
162,5,6,25,5,5,1.0
163,24,15,14,14,12,1.1666666666666667
164,6,9,20,6,6,1.0
165,3,14,13,3,3,1.0
166,16,8,19,12,12,1.0
167,6,6,26,6,6,1.0
168,20,14,24,17,15,1.1333333333333333
169,21,10,20,17,16,1.0625
170,16,5,12,11,10,1.1
171,13,12,16,10,10,1.0
172,9,5,26,9,9,1.0
173,13,15,22,13,13,1.0
174,10,5,17,10,10,1.0
175,4,13,20,4,4,1.0
176,21,9,21,18,17,1.0588235294117647
177,22,15,18,15,12,1.25
178,17,12,10,9,8,1.125
179,7,15,17,7,7,1.0
180,1,5,23,1,1,1.0
181,1,10,25,1,1,1.0
182,8,15,16,8,8,1.0
183,17,15,21,15,14,1.0714285714285714
184,8,10,14,8,8,1.0
185,21,2,14,13,12,1.0833333333333333
186,8,3,21,8,8,1.0
187,3,13,17,3,3,1.0
188,22,12,11,11,10,1.1
189,26,6,17,16,15,1.0666666666666667
190,4,7,12,4,4,1.0
191,15,12,25,15,15,1.0
192,16,9,11,10,8,1.25
193,2,6,21,2,2,1.0
194,17,6,13,11,11,1.0
195,18,8,10,10,10,1.0
196,15,9,18,13,12,1.0833333333333333
197,23,5,20,19,18,1.0555555555555556
198,9,15,24,9,9,1.0
199,4,12,12,4,4,1.0
200,11,15,11,8,6,1.3333333333333333
201,4,5,23,4,4,1.0
202,18,11,13,12,11,1.0909090909090908
203,14,15,10,8,8,1.0
204,3,2,12,3,3,1.0
205,12,8,12,10,9,1.1111111111111112
206,5,14,25,5,5,1.0
207,24,4,18,18,16,1.125
208,25,13,10,10,10,1.0
209,18,10,14,14,14,1.0
210,7,2,19,7,7,1.0
211,20,2,23,18,17,1.0588235294117647
212,6,4,22,6,6,1.0
213,2,7,11,2,2,1.0
214,25,3,22,17,15,1.1333333333333333
215,26,11,24,21,21,1.0
216,3,4,11,3,3,1.0
217,9,7,15,9,9,1.0
218,20,9,23,18,16,1.125
219,26,14,15,14,13,1.0769230769230769
220,7,9,14,7,7,1.0
221,21,3,26,21,21,1.0
222,5,9,22,5,5,1.0
223,5,3,20,5,5,1.0
224,18,4,19,17,16,1.0625
225,1,6,16,1,1,1.0
226,5,4,21,5,5,1.0
227,26,12,12,12,12,1.0
228,18,10,18,15,14,1.0714285714285714
229,25,12,26,21,18,1.1666666666666667
230,1,15,25,1,1,1.0
231,1,15,25,1,1,1.0
232,17,14,19,15,14,1.0714285714285714
233,25,2,17,17,17,1.0
234,13,15,19,11,11,1.0
235,6,6,18,6,6,1.0
236,15,9,16,11,10,1.1
237,14,15,26,14,14,1.0
238,7,11,17,7,7,1.0
239,23,4,20,20,19,1.0526315789473684
240,12,6,14,9,8,1.125
241,16,7,10,9,8,1.125
242,10,2,15,10,10,1.0
243,9,9,26,9,9,1.0
244,12,14,15,11,10,1.1
245,18,13,15,14,13,1.0769230769230769
246,1,8,22,1,1,1.0
247,22,10,16,15,12,1.25
248,4,10,17,4,4,1.0
249,11,10,16,11,10,1.1
250,5,14,18,5,5,1.0
251,10,2,10,8,8,1.0
252,13,11,14,10,9,1.1111111111111112
253,20,15,20,15,12,1.25
254,9,10,25,9,9,1.0
255,10,15,11,7,7,1.0
256,13,3,23,13,13,1.0
257,13,2,22,13,13,1.0
258,19,5,21,15,15,1.0
259,22,4,26,22,21,1.0476190476190477
260,23,13,12,12,12,1.0
261,22,9,26,21,18,1.1666666666666667
262,10,5,19,10,10,1.0
263,14,7,21,14,14,1.0
264,13,6,13,9,9,1.0
265,1,14,19,1,1,1.0
266,9,14,25,9,9,1.0
267,26,3,11,11,11,1.0
268,8,6,16,8,8,1.0
269,9,7,13,8,8,1.0
270,20,7,17,12,12,1.0
271,6,11,17,6,6,1.0
272,9,4,10,8,7,1.1428571428571428
273,9,9,12,9,8,1.125
274,23,3,23,21,19,1.105263157894737
275,14,11,11,11,10,1.1
276,21,9,23,19,19,1.0
277,25,14,21,17,15,1.1333333333333333
278,12,13,20,12,12,1.0
279,10,2,22,10,10,1.0
280,1,11,23,1,1,1.0
281,24,3,16,16,16,1.0
282,6,2,19,6,6,1.0
283,26,5,19,18,17,1.0588235294117647
284,8,13,18,8,8,1.0
285,9,7,16,9,9,1.0
286,4,9,21,4,4,1.0
287,17,2,21,17,15,1.1333333333333333
288,12,9,22,12,12,1.0
289,7,12,15,7,7,1.0
290,9,8,21,9,9,1.0
291,17,7,11,11,11,1.0
292,15,12,16,12,11,1.0909090909090908
293,14,4,13,12,12,1.0
294,16,11,19,14,11,1.2727272727272727
295,6,8,15,6,6,1.0
296,1,3,17,1,1,1.0
297,16,11,21,15,14,1.0714285714285714
298,23,8,26,22,21,1.0476190476190477
299,10,7,12,10,8,1.25
300,14,11,13,11,11,1.0
301,11,2,15,11,11,1.0
302,26,9,15,15,15,1.0
303,12,4,11,10,9,1.1111111111111112
304,4,11,20,4,4,1.0
305,16,11,25,16,16,1.0
306,5,6,22,5,5,1.0
307,6,7,20,6,6,1.0
308,5,14,16,5,5,1.0
309,14,7,13,12,11,1.0909090909090908
310,22,9,17,15,14,1.0714285714285714
311,9,10,22,9,9,1.0
312,11,3,14,11,11,1.0
313,6,15,21,6,6,1.0
314,22,9,18,17,16,1.0625
315,25,14,24,19,17,1.1176470588235294
316,18,2,17,16,14,1.1428571428571428
317,5,9,21,5,5,1.0
318,20,2,26,20,17,1.1764705882352942
319,8,11,18,8,8,1.0
320,16,11,16,13,12,1.0833333333333333
321,15,15,21,13,13,1.0
322,11,4,13,11,10,1.1
323,3,5,11,3,3,1.0
324,5,9,10,5,5,1.0
325,23,15,26,21,20,1.05
326,6,15,20,6,6,1.0
327,9,11,25,9,9,1.0
328,25,13,20,19,18,1.0555555555555556
329,6,11,20,6,6,1.0
330,12,12,20,12,10,1.2
331,19,13,19,14,13,1.0769230769230769
332,3,5,11,3,3,1.0
333,24,14,16,13,12,1.0833333333333333
334,24,9,26,19,17,1.1176470588235294
335,13,13,19,12,12,1.0
336,22,12,14,13,11,1.1818181818181819
337,23,13,10,9,9,1.0
338,22,14,13,11,10,1.1
339,10,12,13,10,9,1.1111111111111112
340,9,5,25,9,9,1.0
341,3,12,19,3,3,1.0
342,8,10,13,8,7,1.1428571428571428
343,5,5,19,5,5,1.0
344,15,3,18,14,14,1.0
345,15,7,11,10,8,1.25
346,26,6,18,16,14,1.1428571428571428
347,12,5,14,10,9,1.1111111111111112
348,19,5,21,18,18,1.0
349,7,10,10,7,6,1.1666666666666667
350,20,15,16,14,13,1.0769230769230769
351,13,12,20,13,13,1.0
352,13,15,25,13,13,1.0
353,14,12,23,14,14,1.0
354,20,10,20,16,16,1.0
355,4,7,19,4,4,1.0
356,21,10,23,19,18,1.0555555555555556
357,1,12,26,1,1,1.0
358,19,11,10,10,8,1.25
359,21,2,12,12,12,1.0
360,23,3,19,17,16,1.0625
361,16,9,18,14,12,1.1666666666666667
362,14,5,11,9,8,1.125
363,20,4,16,15,15,1.0
364,4,11,21,4,4,1.0
365,15,2,19,14,14,1.0
366,12,4,17,12,12,1.0
367,19,4,21,15,14,1.0714285714285714
368,14,13,10,8,8,1.0
369,12,11,26,12,12,1.0
370,16,3,23,16,16,1.0
371,26,11,10,10,10,1.0
372,9,10,25,9,9,1.0
373,6,8,16,6,6,1.0
374,20,7,21,17,16,1.0625
375,2,8,11,2,2,1.0
376,20,3,16,15,13,1.1538461538461537
377,1,9,26,1,1,1.0
378,25,5,10,10,10,1.0
379,21,2,11,11,11,1.0
380,19,14,18,14,12,1.1666666666666667
381,11,10,11,8,7,1.1428571428571428
382,18,4,11,11,11,1.0
383,2,13,20,2,2,1.0
384,14,8,20,14,14,1.0
385,18,7,19,15,13,1.1538461538461537
386,12,5,17,12,11,1.0909090909090908
387,22,3,20,17,15,1.1333333333333333
388,9,12,16,9,9,1.0
389,2,2,15,2,2,1.0
390,20,13,11,10,8,1.25
391,11,8,19,11,11,1.0
392,12,7,19,12,12,1.0
393,21,4,15,13,13,1.0
394,23,7,22,19,18,1.0555555555555556
395,5,15,22,5,5,1.0
396,26,15,20,17,16,1.0625
397,10,5,23,10,10,1.0
398,25,12,21,16,15,1.0666666666666667
399,5,7,17,5,5,1.0
400,8,9,14,8,8,1.0
401,8,9,23,8,8,1.0
402,20,2,25,20,20,1.0
403,16,2,17,15,14,1.0714285714285714
404,5,13,13,5,5,1.0
405,8,3,24,8,8,1.0
406,24,7,12,12,12,1.0
407,4,13,21,4,4,1.0
408,25,10,23,20,19,1.0526315789473684
409,12,11,25,12,12,1.0
410,3,12,15,3,3,1.0
411,6,8,21,6,6,1.0
412,23,11,24,19,18,1.0555555555555556
413,15,2,19,14,13,1.0769230769230769
414,12,11,10,7,7,1.0
415,25,14,20,18,17,1.0588235294117647
416,3,9,17,3,3,1.0
417,13,6,18,13,12,1.0833333333333333
418,17,4,18,14,13,1.0769230769230769
419,24,6,22,18,18,1.0
420,5,12,24,5,5,1.0
421,4,15,17,4,4,1.0
422,4,14,10,4,4,1.0
423,8,8,26,8,8,1.0
424,21,5,24,19,19,1.0
425,12,8,10,9,8,1.125
426,17,9,21,15,15,1.0
427,13,12,10,7,7,1.0
428,11,14,10,8,8,1.0
429,25,9,15,15,15,1.0
430,12,9,16,12,12,1.0
431,1,7,23,1,1,1.0
432,11,2,16,11,10,1.1
433,25,5,17,16,15,1.0666666666666667
434,16,12,26,16,16,1.0
435,4,11,18,4,4,1.0
436,24,14,25,19,17,1.1176470588235294
437,5,11,10,5,5,1.0
438,12,11,13,9,9,1.0
439,9,11,21,9,9,1.0
440,19,14,22,16,16,1.0
441,13,12,25,13,13,1.0
442,11,14,24,11,11,1.0
443,26,2,10,10,9,1.1111111111111112
444,26,7,22,19,18,1.0555555555555556
445,8,3,23,8,8,1.0
446,9,5,13,9,8,1.125
447,26,5,21,21,21,1.0
448,9,10,13,9,8,1.125
449,21,6,20,17,16,1.0625
450,10,2,18,10,10,1.0
451,25,14,22,17,14,1.2142857142857142
452,6,14,25,6,6,1.0
453,19,2,10,10,9,1.1111111111111112
454,2,9,10,2,2,1.0
455,4,14,17,4,4,1.0
456,25,2,19,18,17,1.0588235294117647
457,23,13,17,15,14,1.0714285714285714
458,11,15,21,11,11,1.0
459,2,6,16,2,2,1.0
460,18,4,10,10,10,1.0
461,2,12,24,2,2,1.0
462,12,6,14,10,9,1.1111111111111112
463,5,8,22,5,5,1.0
464,14,8,18,13,13,1.0
465,17,15,22,16,15,1.0666666666666667
466,26,7,25,22,20,1.1
467,5,4,13,5,5,1.0
468,20,10,16,16,14,1.1428571428571428
469,20,6,26,19,18,1.0555555555555556
470,19,13,10,9,9,1.0
471,2,13,16,2,2,1.0
472,22,14,16,13,12,1.0833333333333333
473,25,15,11,11,10,1.1
474,13,12,19,13,12,1.0833333333333333
475,2,14,26,2,2,1.0
476,1,8,13,1,1,1.0
477,11,10,26,11,11,1.0
478,21,8,13,13,11,1.1818181818181819
479,26,9,11,11,11,1.0
480,11,7,14,11,10,1.1
481,4,10,20,4,4,1.0
482,19,3,13,12,11,1.0909090909090908
483,10,2,15,10,10,1.0
484,13,7,21,13,13,1.0
485,5,10,13,5,5,1.0
486,8,3,20,8,8,1.0
487,18,3,17,14,12,1.1666666666666667
488,20,8,26,20,19,1.0526315789473684
489,2,15,10,2,2,1.0
490,16,8,23,16,16,1.0
491,23,3,16,16,15,1.0666666666666667
492,19,2,14,13,12,1.0833333333333333
493,2,12,13,2,2,1.0
494,15,9,25,15,15,1.0
495,24,6,26,21,20,1.05
496,10,6,11,10,9,1.1111111111111112
497,14,15,20,13,12,1.0833333333333333
498,9,15,26,9,9,1.0
499,22,14,26,19,18,1.0555555555555556
500,13,13,22,13,13,1.0
501,20,15,20,15,14,1.0714285714285714
502,1,6,11,1,1,1.0
503,19,8,20,16,15,1.0666666666666667
504,7,14,14,7,7,1.0
505,12,9,16,11,11,1.0
506,17,7,13,12,12,1.0
507,19,13,10,9,9,1.0
508,16,13,18,14,13,1.0769230769230769
509,19,7,25,19,17,1.1176470588235294
510,13,15,14,10,9,1.1111111111111112
511,22,9,19,18,16,1.125
512,21,7,25,21,21,1.0
513,18,2,15,13,12,1.0833333333333333
514,3,13,10,3,3,1.0
515,5,9,11,5,5,1.0
516,14,2,25,14,14,1.0
517,1,15,21,1,1,1.0
518,4,3,19,4,4,1.0
519,8,6,14,8,8,1.0
520,14,9,11,9,9,1.0
521,2,6,24,2,2,1.0
522,1,6,20,1,1,1.0
523,19,6,22,18,17,1.0588235294117647
524,8,8,16,8,8,1.0
525,22,9,13,13,13,1.0
526,15,4,11,11,11,1.0
527,9,3,15,9,9,1.0
528,11,12,20,11,11,1.0
529,1,14,12,1,1,1.0
530,1,14,15,1,1,1.0
531,21,6,10,10,10,1.0
532,3,9,13,3,3,1.0
533,26,3,17,17,16,1.0625
534,14,6,23,14,14,1.0
535,3,12,20,3,3,1.0
536,11,2,11,11,10,1.1
537,25,11,13,12,12,1.0
538,17,3,22,17,16,1.0625
539,17,8,14,13,12,1.0833333333333333
540,4,12,11,4,4,1.0
541,2,8,15,2,2,1.0
542,16,4,11,11,10,1.1
543,18,3,22,18,18,1.0
544,6,12,16,6,6,1.0
545,24,2,20,16,15,1.0666666666666667
546,25,10,23,21,20,1.05
547,18,14,18,14,14,1.0
548,16,12,13,11,10,1.1
549,14,9,24,14,14,1.0
550,10,12,12,9,7,1.2857142857142858
551,4,5,14,4,4,1.0
552,16,3,14,13,13,1.0
553,12,10,22,12,12,1.0
554,5,8,11,5,5,1.0
555,7,10,13,7,7,1.0
556,17,15,26,17,16,1.0625
557,12,13,17,11,10,1.1
558,2,3,18,2,2,1.0
559,15,14,25,15,14,1.0714285714285714
560,1,7,26,1,1,1.0
561,15,4,22,15,15,1.0
562,24,14,22,19,18,1.0555555555555556
563,5,13,24,5,5,1.0
564,25,3,16,16,15,1.0666666666666667
565,18,4,22,18,16,1.125
566,15,6,13,12,11,1.0909090909090908
567,18,2,17,14,13,1.0769230769230769
568,11,10,15,10,10,1.0
569,2,7,25,2,2,1.0
570,2,13,13,2,2,1.0
571,12,13,26,12,12,1.0
572,21,9,10,10,10,1.0
573,19,3,26,19,18,1.0555555555555556
574,11,10,20,11,11,1.0
575,8,2,14,8,8,1.0
576,5,11,14,5,5,1.0
577,4,4,19,4,4,1.0
578,15,12,16,13,11,1.1818181818181819
579,24,12,22,18,18,1.0
580,14,11,12,10,8,1.25
581,25,11,12,12,12,1.0
582,5,12,10,5,5,1.0
583,7,3,17,7,7,1.0
584,3,10,14,3,3,1.0
585,16,14,18,13,12,1.0833333333333333
586,7,10,19,7,7,1.0
587,6,4,20,6,6,1.0
588,1,11,19,1,1,1.0
589,2,13,23,2,2,1.0
590,2,10,22,2,2,1.0
591,15,3,12,11,10,1.1
592,6,6,26,6,6,1.0
593,14,10,17,12,11,1.0909090909090908
594,18,2,10,10,9,1.1111111111111112
595,16,6,16,15,14,1.0714285714285714
596,19,8,23,17,15,1.1333333333333333
597,1,3,21,1,1,1.0
598,13,10,12,11,9,1.2222222222222223
599,25,12,16,15,14,1.0714285714285714
600,8,7,19,8,8,1.0
601,13,2,14,11,10,1.1
602,21,8,23,19,19,1.0
603,23,10,21,18,16,1.125
604,9,13,20,9,9,1.0
605,10,12,12,9,8,1.125
606,22,10,25,20,19,1.0526315789473684
607,16,8,10,10,9,1.1111111111111112
608,21,15,24,20,20,1.0
609,11,11,20,11,11,1.0
610,20,11,25,20,18,1.1111111111111112
611,26,2,25,23,22,1.0454545454545454
612,9,5,24,9,9,1.0
613,20,4,20,18,17,1.0588235294117647
614,14,13,20,14,14,1.0
615,13,15,20,13,13,1.0
616,24,2,21,18,15,1.2
617,4,11,15,4,4,1.0
618,4,13,22,4,4,1.0
619,24,15,23,18,18,1.0
620,20,2,10,10,10,1.0
621,2,4,25,2,2,1.0
622,12,11,17,10,10,1.0
623,8,5,14,8,8,1.0
624,13,4,15,12,11,1.0909090909090908
625,3,5,10,3,3,1.0
626,13,4,17,12,12,1.0
627,2,3,24,2,2,1.0
628,21,13,25,19,16,1.1875
629,26,13,22,18,17,1.0588235294117647
630,24,11,19,18,18,1.0
631,3,13,18,3,3,1.0
632,23,14,13,13,11,1.1818181818181819
633,17,8,21,17,16,1.0625
634,16,6,23,16,16,1.0
635,24,3,25,20,20,1.0
636,4,9,14,4,4,1.0
637,14,4,23,14,14,1.0
638,5,12,16,5,5,1.0
639,21,11,12,11,10,1.1
640,5,10,17,5,5,1.0
641,17,3,19,14,14,1.0
642,18,15,17,14,13,1.0769230769230769
643,21,14,15,13,12,1.0833333333333333
644,6,8,10,6,6,1.0
645,17,15,12,10,9,1.1111111111111112
646,1,5,16,1,1,1.0
647,21,12,16,14,13,1.0769230769230769
648,22,14,19,15,15,1.0
649,5,11,24,5,5,1.0
650,14,15,24,14,14,1.0
651,26,5,26,23,22,1.0454545454545454
652,18,12,14,11,10,1.1
653,22,11,13,13,12,1.0833333333333333
654,1,7,23,1,1,1.0
655,3,2,20,3,3,1.0
656,13,3,15,11,10,1.1
657,15,2,22,15,15,1.0
658,7,2,23,7,7,1.0
659,11,7,16,11,10,1.1
660,2,5,21,2,2,1.0
661,15,10,19,13,12,1.0833333333333333
662,16,11,15,13,11,1.1818181818181819
663,10,5,24,10,10,1.0
664,13,5,21,13,13,1.0
665,14,5,20,14,14,1.0
666,3,7,16,3,3,1.0
667,19,5,22,18,18,1.0
668,24,5,15,13,12,1.0833333333333333
669,14,13,20,14,13,1.0769230769230769
670,25,10,10,10,10,1.0
671,14,9,18,13,12,1.0833333333333333
672,16,5,10,10,10,1.0
673,14,9,19,13,13,1.0
674,11,14,21,11,11,1.0
675,14,3,23,14,14,1.0
676,20,2,22,17,15,1.1333333333333333
677,11,13,25,11,11,1.0
678,7,15,20,7,7,1.0
679,5,7,19,5,5,1.0
680,14,4,10,10,10,1.0
681,2,13,11,2,2,1.0
682,11,11,18,11,11,1.0
683,21,12,12,11,10,1.1
684,18,9,25,18,17,1.0588235294117647
685,4,7,18,4,4,1.0
686,13,6,13,11,10,1.1
687,15,7,12,11,9,1.2222222222222223
688,15,4,26,15,15,1.0
689,13,9,16,11,11,1.0
690,26,6,24,22,21,1.0476190476190477
691,15,7,11,9,8,1.125
692,6,14,12,6,6,1.0
693,4,15,19,4,4,1.0
694,23,11,17,15,13,1.1538461538461537
695,6,7,19,6,6,1.0
696,14,4,19,14,14,1.0
697,17,12,10,10,9,1.1111111111111112
698,11,2,10,10,9,1.1111111111111112
699,22,12,13,13,12,1.0833333333333333
700,2,5,17,2,2,1.0
701,1,7,20,1,1,1.0
702,18,15,12,10,10,1.0
703,17,11,15,12,11,1.0909090909090908
704,7,2,21,7,7,1.0
705,5,13,23,5,5,1.0
706,26,9,15,12,12,1.0
707,16,11,18,16,15,1.0666666666666667
708,12,12,19,12,10,1.2
709,14,14,13,10,9,1.1111111111111112
710,9,12,15,9,9,1.0
711,16,2,19,14,13,1.0769230769230769
712,7,7,21,7,7,1.0
713,10,13,14,9,9,1.0
714,16,11,24,16,15,1.0666666666666667
715,14,5,17,12,11,1.0909090909090908
716,15,4,19,15,15,1.0
717,18,4,25,18,18,1.0
718,1,8,17,1,1,1.0
719,25,2,21,20,20,1.0
720,5,6,19,5,5,1.0
721,21,5,19,17,16,1.0625
722,15,14,21,15,13,1.1538461538461537
723,7,9,25,7,7,1.0
724,26,15,24,20,17,1.1764705882352942
725,20,6,10,10,10,1.0
726,13,4,20,13,13,1.0
727,2,10,23,2,2,1.0
728,3,6,14,3,3,1.0
729,26,3,24,22,20,1.1
730,19,2,14,14,13,1.0769230769230769
731,21,9,20,16,15,1.0666666666666667
732,17,11,20,14,14,1.0
733,21,7,12,12,11,1.0909090909090908
734,5,11,10,5,5,1.0
735,13,3,21,13,13,1.0
736,3,8,21,3,3,1.0
737,15,15,13,9,8,1.125
738,24,7,23,21,19,1.105263157894737
739,19,10,21,18,17,1.0588235294117647
740,17,10,25,16,14,1.1428571428571428
741,18,12,26,17,16,1.0625
742,16,12,25,16,16,1.0
743,14,3,18,14,14,1.0
744,20,2,10,10,10,1.0
745,8,2,26,8,8,1.0
746,15,9,23,15,15,1.0
747,7,6,14,7,7,1.0
748,25,8,24,21,20,1.05
749,4,2,20,4,4,1.0
750,17,13,15,11,11,1.0
751,21,14,14,13,11,1.1818181818181819
752,6,6,18,6,6,1.0
753,4,12,12,4,4,1.0
754,24,15,13,12,11,1.0909090909090908
755,8,3,10,8,8,1.0
756,9,7,10,8,8,1.0
757,13,11,20,13,13,1.0
758,10,15,13,8,7,1.1428571428571428
759,24,9,10,10,9,1.1111111111111112
760,4,3,12,4,4,1.0
761,1,2,16,1,1,1.0
762,14,10,20,13,13,1.0
763,17,15,18,12,10,1.2
764,1,12,12,1,1,1.0
765,16,8,14,13,11,1.1818181818181819
766,15,7,19,15,14,1.0714285714285714
767,4,9,12,4,4,1.0
768,25,7,22,17,15,1.1333333333333333
769,8,2,24,8,8,1.0
770,26,4,15,14,12,1.1666666666666667
771,11,4,10,8,6,1.3333333333333333
772,17,7,23,17,16,1.0625
773,24,10,24,21,20,1.05
774,10,14,18,10,10,1.0
775,21,7,12,12,11,1.0909090909090908
776,21,14,13,11,10,1.1
777,26,11,17,17,16,1.0625
778,10,7,19,10,10,1.0
779,23,15,26,20,17,1.1764705882352942
780,12,10,24,12,12,1.0
781,6,8,24,6,6,1.0
782,11,2,10,9,8,1.125
783,20,5,25,20,18,1.1111111111111112
784,24,2,25,19,19,1.0
785,1,2,16,1,1,1.0
786,16,14,23,16,14,1.1428571428571428
787,17,6,13,10,10,1.0
788,14,9,21,14,14,1.0
789,13,8,12,10,9,1.1111111111111112
790,2,8,17,2,2,1.0
791,9,8,20,9,9,1.0
792,24,9,15,13,13,1.0
793,8,8,16,8,8,1.0
794,15,13,11,9,8,1.125
795,10,6,22,10,10,1.0
796,5,7,11,5,5,1.0
797,8,3,21,8,8,1.0
798,21,2,19,18,18,1.0
